iter	RMSE
0	7.427868215
1	7.05453408
2	6.683464643
3	6.346577187
4	6.019267944
5	5.753862227
6	5.468139566
7	5.29720879
8	5.133750583
9	4.882509385
10	4.664287389
11	4.526216266
12	4.348333065
13	4.257868442
14	4.103577251
15	3.998590953
16	3.877934718
17	3.764820197
18	3.745911769
19	3.628789479
20	3.540840954
21	3.471871338
22	3.378122964
23	3.283852667
24	3.197276404
25	3.117229554
26	3.073633208
27	3.019790216
28	2.972040366
29	2.928763285
30	2.8937507
31	2.862462676
32	2.835179728
33	2.792617858
34	2.758740832
35	2.737327696
36	2.700793053
37	2.671684486
38	2.634707315
39	2.607156205
40	2.577647004
41	2.559401709
42	2.554591106
43	2.53555583
44	2.522175794
45	2.513984386
46	2.503443236
47	2.481940919
48	2.464730935
49	2.454520419
50	2.445544979
51	2.43421218
52	2.429078131
53	2.41934591
54	2.411636959
55	2.399297052
56	2.388072942
57	2.376557916
58	2.36793795
59	2.360102317
60	2.349753024
61	2.341258995
62	2.336814785
63	2.332288537
64	2.32878411
65	2.321656877
66	2.315594527
67	2.307998335
68	2.297759598
69	2.293017655
70	2.28425066
71	2.278405283
72	2.27503046
73	2.271693037
74	2.265802642
75	2.258615013
76	2.254960686
77	2.252696982
78	2.249596475
79	2.239853304
80	2.237779744
81	2.231015474
82	2.22987098
83	2.228406462
84	2.224997812
85	2.223574108
86	2.220204376
87	2.218144551
88	2.211636828
89	2.204249857
90	2.201903337
91	2.200829782
92	2.198219084
93	2.194067155
94	2.192292016
95	2.182319224
96	2.178034151
97	2.17394953
98	2.169553446
99	2.164326164
100	2.162130641
101	2.157625081
102	2.154201548
103	2.151499837
104	2.144519458
105	2.139819407
106	2.1319503
107	2.130335763
108	2.125832607
109	2.122679442
110	2.118297284
111	2.115960305
112	2.111844874
113	2.101326309
114	2.097688389
115	2.091872486
116	2.090404941
117	2.089272073
118	2.082548373
119	2.079913417
120	2.078627929
121	2.077580747
122	2.073672106
123	2.069979373
124	2.067133792
125	2.063815344
126	2.062391118
127	2.061474792
128	2.054298211
129	2.048805273
130	2.043848133
131	2.043179959
132	2.041629282
133	2.040243568
134	2.037205529
135	2.034575622
136	2.034078786
137	2.030871813
138	2.027608935
139	2.026840241
140	2.023151395
141	2.022344658
142	2.020927391
143	2.019206404
144	2.014275996
145	2.012772186
146	2.01169931
147	2.004858294
148	2.00307013
149	2.001526832
150	1.996272614
151	1.99517634
152	1.993885987
153	1.989535516
154	1.988079896
155	1.985881371
156	1.985115566
157	1.98273787
158	1.982051033
159	1.978089472
160	1.974724513
161	1.973830305
162	1.971151384
163	1.969328716
164	1.967270903
165	1.964242728
166	1.963191237
167	1.959861417
168	1.956939083
169	1.954503543
170	1.953842832
171	1.94899337
172	1.948073164
173	1.944311482
174	1.941672496
175	1.938471564
176	1.937163949
177	1.935686993
178	1.935381272
179	1.933548014
180	1.932333021
181	1.931486562
182	1.92997851
183	1.928771119
184	1.928164005
185	1.926654548
186	1.924507125
187	1.922667991
188	1.92223609
189	1.921278993
190	1.920284738
191	1.919825008
192	1.918219738
193	1.916058655
194	1.915255512
195	1.909589177
196	1.908444517
197	1.907128392
198	1.904712192
199	1.903746487
200	1.902996849
201	1.900481779
202	1.898795971
203	1.897661996
204	1.896064687
205	1.895247501
206	1.893300773
207	1.891822546
208	1.891387051
209	1.890963942
210	1.88988082
211	1.886744004
212	1.885903341
213	1.885399802
214	1.881028617
215	1.880621446
216	1.877894901
