iter	Passed	Remaining
0	6	4263
1	11	4004
2	17	3963
3	22	3887
4	27	3897
5	32	3801
6	38	3778
7	42	3718
8	48	3715
9	53	3711
10	57	3615
11	62	3615
12	68	3619
13	73	3613
14	78	3610
15	84	3607
16	88	3579
17	94	3576
18	99	3573
19	104	3571
20	110	3583
21	115	3580
22	121	3580
23	125	3532
24	129	3518
25	135	3522
26	140	3522
27	146	3519
28	151	3509
29	156	3503
30	161	3496
31	166	3494
32	172	3488
33	177	3477
34	181	3466
35	187	3463
36	192	3466
37	198	3468
38	203	3464
39	209	3464
40	214	3460
41	219	3450
42	224	3447
43	230	3444
44	234	3424
45	238	3404
46	242	3378
47	246	3359
48	250	3339
49	254	3323
50	259	3311
51	263	3298
52	268	3285
53	272	3271
54	276	3257
55	281	3244
56	285	3231
57	289	3218
58	294	3206
59	298	3195
60	302	3183
61	307	3172
62	311	3160
63	315	3147
64	319	3132
65	323	3121
66	328	3113
67	332	3103
68	337	3093
69	341	3085
70	346	3076
71	349	3061
72	354	3052
73	358	3042
74	362	3032
75	367	3023
76	371	3013
77	375	3005
78	379	2995
79	384	2987
80	388	2978
81	392	2970
82	396	2958
83	400	2948
84	405	2939
85	409	2931
86	413	2923
87	417	2915
88	422	2906
89	426	2901
90	431	2894
91	435	2887
92	439	2880
93	444	2872
94	448	2865
95	452	2858
96	457	2852
97	461	2844
98	465	2836
99	469	2829
100	474	2822
101	478	2815
102	483	2809
103	487	2802
104	491	2796
105	496	2790
106	500	2783
107	504	2776
108	509	2769
109	513	2762
110	517	2756
111	521	2749
112	526	2742
113	530	2735
114	534	2728
115	538	2721
116	543	2715
117	547	2709
118	551	2702
119	556	2697
120	560	2691
121	564	2685
122	569	2679
123	573	2672
124	577	2667
125	582	2661
126	586	2655
127	590	2649
128	595	2643
129	600	2640
130	604	2635
131	608	2629
132	613	2626
133	618	2621
134	623	2617
135	627	2612
136	632	2606
137	636	2602
138	641	2598
139	645	2593
140	650	2587
141	654	2582
142	663	2595
143	668	2591
144	675	2594
145	688	2621
146	694	2621
147	699	2618
148	704	2613
149	708	2607
150	713	2602
151	717	2597
152	722	2591
153	726	2585
154	731	2579
155	735	2574
156	740	2570
157	744	2564
158	749	2558
159	753	2553
160	757	2546
161	762	2541
162	766	2536
163	771	2531
164	775	2525
165	781	2522
166	786	2519
167	791	2517
168	797	2515
169	803	2513
170	807	2508
171	811	2501
172	816	2495
173	820	2490
174	825	2485
175	829	2479
176	834	2474
177	838	2468
178	842	2462
179	847	2456
180	851	2450
181	855	2444
182	859	2438
183	864	2432
184	868	2426
185	872	2421
186	877	2415
187	881	2409
188	885	2404
189	889	2398
190	894	2392
191	898	2386
192	903	2381
193	907	2376
194	911	2370
195	916	2365
196	920	2359
197	924	2354
198	929	2349
199	934	2344
200	938	2338
201	942	2331
202	946	2325
203	950	2320
204	954	2313
205	958	2307
206	962	2301
207	967	2297
208	971	2292
209	976	2286
210	980	2280
211	984	2275
212	988	2269
213	993	2264
214	997	2259
215	1002	2255
216	1006	2250
217	1011	2245
218	1016	2241
219	1021	2237
220	1025	2231
221	1029	2226
222	1034	2221
223	1039	2217
224	1043	2212
225	1047	2207
226	1052	2203
227	1057	2198
228	1061	2192
229	1066	2187
230	1070	2182
231	1074	2177
232	1079	2172
233	1083	2167
234	1088	2162
235	1092	2156
236	1096	2151
237	1101	2147
238	1105	2141
239	1110	2137
240	1114	2132
241	1119	2127
242	1123	2122
243	1127	2116
244	1135	2117
245	1140	2114
246	1145	2109
247	1149	2104
248	1154	2099
249	1158	2094
250	1162	2089
251	1167	2084
252	1171	2079
253	1175	2074
254	1180	2069
255	1184	2064
256	1189	2059
257	1193	2054
258	1198	2049
259	1202	2044
260	1206	2039
261	1211	2034
262	1216	2029
263	1220	2025
264	1224	2019
265	1229	2015
266	1233	2009
267	1237	2004
268	1242	1999
269	1246	1994
270	1251	1989
271	1255	1984
272	1259	1979
273	1264	1975
274	1269	1970
275	1273	1965
276	1277	1960
277	1282	1956
278	1286	1950
279	1290	1945
280	1295	1940
281	1299	1935
282	1303	1930
283	1307	1924
284	1312	1920
285	1316	1915
286	1321	1910
287	1325	1905
288	1330	1901
289	1334	1896
290	1339	1891
291	1343	1886
292	1347	1881
293	1352	1876
294	1356	1871
295	1361	1867
296	1365	1862
297	1370	1857
298	1374	1852
299	1379	1847
300	1383	1843
301	1387	1838
302	1392	1833
303	1396	1828
304	1400	1823
305	1405	1818
306	1408	1812
307	1412	1807
308	1417	1802
309	1421	1797
310	1425	1792
311	1430	1788
312	1434	1783
313	1439	1778
314	1443	1773
315	1447	1768
316	1451	1763
317	1456	1758
318	1460	1753
319	1465	1749
320	1469	1744
321	1474	1739
322	1478	1734
323	1482	1730
324	1487	1725
325	1491	1720
326	1495	1715
327	1500	1710
328	1504	1705
329	1508	1700
330	1513	1695
331	1517	1691
332	1521	1686
333	1525	1680
334	1530	1676
335	1534	1671
336	1538	1666
337	1543	1661
338	1547	1657
339	1551	1652
340	1556	1647
341	1560	1642
342	1565	1638
343	1569	1633
344	1573	1628
345	1578	1624
346	1582	1619
347	1586	1614
348	1591	1609
349	1595	1604
350	1600	1600
351	1604	1595
352	1608	1590
353	1613	1585
354	1617	1581
355	1622	1576
356	1626	1571
357	1630	1567
358	1635	1562
359	1639	1557
360	1644	1553
361	1648	1548
362	1652	1543
363	1657	1538
364	1661	1534
365	1665	1529
366	1670	1524
367	1674	1519
368	1678	1514
369	1683	1510
370	1687	1505
371	1691	1500
372	1695	1495
373	1699	1490
374	1704	1486
375	1708	1481
376	1713	1476
377	1717	1472
378	1722	1468
379	1727	1463
380	1731	1458
381	1735	1454
382	1740	1449
383	1744	1445
384	1749	1440
385	1753	1435
386	1758	1430
387	1762	1426
388	1766	1421
389	1772	1418
390	1778	1414
391	1782	1409
392	1787	1405
393	1792	1401
394	1797	1396
395	1802	1392
396	1807	1388
397	1812	1384
398	1822	1383
399	1828	1380
400	1836	1378
401	1847	1378
402	1853	1374
403	1858	1370
404	1862	1365
405	1867	1361
406	1872	1357
407	1876	1352
408	1881	1347
409	1885	1342
410	1889	1338
411	1894	1333
412	1898	1328
413	1902	1323
414	1907	1319
415	1911	1314
416	1915	1309
417	1920	1304
418	1924	1299
419	1928	1294
420	1932	1289
421	1936	1285
422	1941	1280
423	1945	1275
424	1949	1270
425	1954	1266
426	1958	1261
427	1964	1257
428	1969	1253
429	1973	1248
430	1978	1243
431	1982	1238
432	1987	1234
433	1991	1229
434	1995	1225
435	1999	1220
436	2004	1215
437	2008	1210
438	2013	1206
439	2018	1202
440	2022	1197
441	2027	1192
442	2031	1187
443	2035	1182
444	2040	1178
445	2044	1173
446	2048	1168
447	2052	1163
448	2056	1159
449	2060	1154
450	2065	1149
451	2069	1144
452	2073	1139
453	2078	1135
454	2082	1130
455	2086	1125
456	2090	1120
457	2094	1116
458	2099	1111
459	2103	1106
460	2107	1101
461	2111	1096
462	2116	1092
463	2120	1087
464	2124	1082
465	2128	1078
466	2133	1073
467	2139	1069
468	2144	1065
469	2148	1060
470	2152	1055
471	2157	1051
472	2161	1046
473	2166	1041
474	2170	1037
475	2174	1032
476	2178	1027
477	2183	1023
478	2187	1018
479	2191	1013
480	2195	1008
481	2199	1004
482	2203	999
483	2208	994
484	2212	989
485	2217	985
486	2221	980
487	2225	976
488	2229	971
489	2233	966
490	2238	961
491	2242	957
492	2246	952
493	2250	947
494	2254	942
495	2259	938
496	2263	933
497	2267	928
498	2271	924
499	2275	919
500	2280	914
501	2284	910
502	2289	905
503	2293	900
504	2297	896
505	2302	891
506	2306	887
507	2310	882
508	2315	877
509	2319	873
510	2323	868
511	2327	863
512	2332	859
513	2336	854
514	2341	850
515	2345	845
516	2350	841
517	2355	836
518	2359	831
519	2364	827
520	2367	822
521	2371	817
522	2375	813
523	2380	808
524	2384	804
525	2389	799
526	2394	794
527	2399	790
528	2403	785
529	2407	781
530	2411	776
531	2416	772
532	2420	767
533	2424	762
534	2429	758
535	2433	753
536	2437	749
537	2442	744
538	2446	739
539	2449	734
540	2453	730
541	2458	725
542	2462	721
543	2466	716
544	2470	711
545	2474	707
546	2479	702
547	2484	698
548	2488	693
549	2492	688
550	2497	684
551	2501	679
552	2506	675
553	2510	670
554	2515	666
555	2519	661
556	2523	656
557	2528	652
558	2532	647
559	2536	643
560	2541	638
561	2545	634
562	2549	629
563	2554	624
564	2558	620
565	2563	615
566	2567	611
567	2571	606
568	2576	602
569	2580	597
570	2584	593
571	2589	588
572	2593	583
573	2598	579
574	2602	574
575	2606	570
576	2611	565
577	2615	561
578	2620	556
579	2624	552
580	2629	547
581	2633	542
582	2637	538
583	2642	533
584	2646	529
585	2649	524
586	2654	519
587	2659	515
588	2663	511
589	2667	506
590	2672	501
591	2676	497
592	2681	492
593	2685	488
594	2690	483
595	2695	479
596	2699	474
597	2703	470
598	2708	465
599	2712	461
600	2717	456
601	2721	452
602	2726	447
603	2730	443
604	2735	438
605	2740	434
606	2744	429
607	2749	425
608	2753	420
609	2756	415
610	2761	411
611	2765	406
612	2769	402
613	2774	397
614	2778	393
615	2782	388
616	2786	383
617	2791	379
618	2795	374
619	2800	370
620	2804	365
621	2808	361
622	2812	356
623	2816	352
624	2821	347
625	2825	343
626	2830	338
627	2834	334
628	2839	329
629	2843	324
630	2848	320
631	2852	315
632	2856	311
633	2861	306
634	2865	302
635	2870	297
636	2874	293
637	2878	288
638	2883	284
639	2888	279
640	2892	275
641	2897	270
642	2901	266
643	2906	261
644	2910	257
645	2915	252
646	2919	248
647	2924	243
648	2928	239
649	2932	234
650	2937	230
651	2942	225
652	2946	221
653	2950	216
654	2955	212
655	2959	207
656	2964	203
657	2969	198
658	2973	194
659	2978	189
660	2982	184
661	2986	180
662	2991	175
663	2995	171
664	3000	166
665	3004	162
666	3009	157
667	3013	153
668	3017	148
669	3022	144
670	3026	139
671	3031	135
672	3035	130
673	3040	126
674	3044	121
675	3049	117
676	3053	112
677	3058	108
678	3062	103
679	3066	99
680	3071	94
681	3075	90
682	3079	85
683	3084	81
684	3088	76
685	3092	72
686	3097	67
687	3101	63
688	3106	58
689	3110	54
690	3113	49
691	3118	45
692	3122	40
693	3127	36
694	3131	31
695	3137	27
696	3143	22
697	3147	18
698	3151	13
699	3156	9
700	3159	4
701	3163	0
